Time,UAV5,UAV4,UAV3,UAV2,UAV1,HeadingCos,HeadingSin,Cos sq,Sin sq,Sum sq,Root,Psy Order
309.052,0.300301,-0.0799628,0.512032,-0.196916,-0.151048,4.79309143925103,0.359759643524426,22.9737255450215,0.129427001108822,23.1031525461304,4.80657388855413,0.961314777710826
309.152,0.30172,-0.0755265,0.512032,-0.210658,-0.148042,4.79068205992035,0.355052652859172,22.9506345992427,0.126062386302336,23.076696985545,4.80382108175825,0.96076421635165
309.22,0.30225,-0.0682541,0.516104,-0.210658,-0.143162,4.78975252546375,0.371186324604442,22.9417292551864,0.137779287573354,23.0795085427598,4.8041137104319,0.96082274208638
309.3,0.30271,-0.0682541,0.5172,-0.225811,-0.139723,4.7862782146828,0.361189596269838,22.9084591483472,0.130457924453569,23.0389170728008,4.79988719375787,0.959977438751573
309.372,0.302804,-0.0597955,0.517568,-0.234128,-0.137739,4.78498788472404,0.363907319856661,22.8961090569558,0.132428537445258,23.0285375944011,4.79880585087593,0.959761170175186
309.488,0.302887,-0.0533823,0.517188,-0.254334,-0.133743,4.78116862414309,0.354412415782236,22.8595734124903,0.125608160460601,22.9851815729509,4.79428634657453,0.958857269314906
309.576,0.302901,-0.0496247,0.51558,-0.262323,-0.12728,4.78095202244468,0.355464193366552,22.8575022409179,0.126354792765734,22.9838570336836,4.79414820731312,0.958829641462624
309.608,0.30313,-0.0475552,0.51558,-0.262323,-0.12728,4.78098420623845,0.357749817440737,22.8578099803015,0.127984931878881,22.9857949121804,4.79435031179204,0.958870062358408
309.736,0.3043,-0.0432136,0.514072,-0.288646,-0.11759,4.77559721674719,0.346178568299968,22.8063287766035,0.119839601150216,22.9261683777537,4.7881278572897,0.95762557145794
309.808,0.305496,-0.0361915,0.514072,-0.288646,-0.11759,4.77551690396025,0.35433595768385,22.8055617000101,0.125553970907731,22.9311156709179,4.78864445025081,0.957728890050162
309.888,0.307052,-0.0339374,0.514424,-0.301636,-0.111734,4.77184519090968,0.351768032694977,22.7705065260079,0.123740748826094,22.894247274834,4.7847933366901,0.956958667338019
310.004,0.310142,-0.0260206,0.515622,-0.318781,-0.105642,4.76598116350236,0.353397456111417,22.7145764508593,0.124889761986021,22.8394662128453,4.77906541207016,0.955813082414031
310.032,0.310994,-0.0260206,0.515622,-0.318781,-0.100719,4.76622784899019,0.359105509165093,22.7169279084897,0.12895676671272,22.8458846752024,4.77973688346988,0.955947376693977
310.112,0.313007,-0.0187859,0.516171,-0.331306,-0.0931245,4.76223625513258,0.364421506096664,22.6788941496991,0.132803034105761,22.8116971838049,4.77615925025589,0.955231850051178
310.268,0.316022,-0.0130895,0.515454,-0.349681,-0.0846363,4.75636514084063,0.363495387706663,22.6230093530039,0.132128896884017,22.7551382498879,4.77023461161901,0.954046922323801
310.328,0.316503,-0.00296179,0.51457,-0.360659,-0.0846363,4.7529146543685,0.363017756665474,22.5901977117108,0.131781891654433,22.7219796033652,4.76675776638222,0.953351553276444
310.408,0.316813,0.00568358,0.51457,-0.373686,-0.0794663,4.74855371504368,0.364951666219632,22.5487623846552,0.133189718676486,22.6819521033317,4.76255730709161,0.952511461418321
310.496,0.316568,0.0118325,0.513147,-0.381918,-0.072642,4.74675754191398,0.368781419587807,22.5317071617173,0.135999735433198,22.6677068971505,4.76106153049406,0.952212306098813
310.544,0.316249,0.0118325,0.510836,-0.381918,-0.0651468,4.74850495998443,0.3739409954836,22.5482993549967,0.139831868103266,22.6881312231,4.76320598159474,0.952641196318949
310.676,0.31477,0.0179638,0.50925,-0.395649,-0.0591233,4.74481601816975,0.370587171370026,22.5132790462802,0.137334851584037,22.6506138978643,4.75926610916686,0.951853221833372
310.744,0.313664,0.0217841,0.50776,-0.410077,-0.0506467,4.74061587235956,0.367244388667308,22.4734388492674,0.134868441007625,22.608307290275,4.75481937514718,0.950963875029436
310.856,0.311837,0.0237836,0.50703,-0.418795,-0.0461494,4.73819423093818,0.363379056147184,22.4504845700958,0.132044338446418,22.5825289085422,4.75210783847991,0.950421567695983
310.932,0.310878,0.0268756,0.506515,-0.427481,-0.0398272,4.7353647004006,0.363503336960054,22.4236788458001,0.132134675981095,22.5558135217812,4.7492961080334,0.949859221606679
311.064,0.310022,0.0283656,0.503348,-0.439055,-0.0209086,4.73283230659858,0.36981101528581,22.3997016423832,0.136760187026721,22.53646182941,4.74725834871139,0.949451669742277
311.124,0.309778,0.0320328,0.503348,-0.449609,-0.0209086,4.72825932112664,0.363715022928264,22.356436207821,0.132288617903708,22.4887248257247,4.74222783359517,0.948445566719033
311.224,0.309719,0.0374436,0.498756,-0.451402,-0.0136464,4.72963989737379,0.370685815526342,22.36949355883,0.137407973832429,22.5069015326624,4.74414391989349,0.948828783978699
311.256,0.309767,0.0399341,0.498756,-0.462332,-0.00962065,4.72475414746271,0.367436682527709,22.323301753966,0.135009715666968,22.458311469633,4.73902009593049,0.947804019186097
311.384,0.310158,0.0440087,0.489982,-0.475326,-0.00255202,4.7227987875493,0.359633253532694,22.3048283876772,0.129336077046511,22.4341644647237,4.73647173165044,0.947294346330087
311.424,0.310252,0.049291,0.489982,-0.475326,0.0084759,4.72249110101288,0.376027129966676,22.3019221991459,0.141396402470975,22.4433186016168,4.73743797865648,0.947487595731297
311.548,0.309737,0.0530987,0.478736,-0.4917,0.0182587,4.71994710010481,0.36467207158319,22.2779006277878,0.132985719792775,22.4108863475806,4.73401376715157,0.946802753430313
311.644,0.308327,0.0553132,0.471399,-0.49666,0.0222236,4.72117905413938,0.358613127303993,22.2895316612444,0.12860337507475,22.4181350363191,4.73477930175411,0.946955860350821
311.688,0.307338,0.0582587,0.471399,-0.49666,0.0359972,4.72091064664902,0.37437902443431,22.2869973336441,0.140159653936386,22.4271569875805,4.73573193789307,0.947146387578615
